Combinação,Acertos,Total,Porcentagem de Acerto
Adaptive_threshold_0.0,0,5,0.0
Adaptive_threshold_0.2,0,4,0.0
Adaptive_threshold_0.4,0,3,0.0
Bilateral_threshold_0.0,3,5,60.0
Bilateral_threshold_0.2,3,5,60.0
Bilateral_threshold_0.4,2,3,66.66666666666666
Bilateral_threshold_0.6,2,3,66.66666666666666
Bilateral_threshold_0.8,1,2,50.0
Grayscale_threshold_0.0,2,5,40.0
Grayscale_threshold_0.2,2,5,40.0
Grayscale_threshold_0.4,2,5,40.0
Grayscale_threshold_0.6,2,3,66.66666666666666
Grayscale_threshold_0.8,1,2,50.0
Inverted_threshold_0.0,3,5,60.0
Inverted_threshold_0.2,3,5,60.0
Inverted_threshold_0.4,3,5,60.0
Inverted_threshold_0.6,3,4,75.0
Inverted_threshold_0.8,1,2,50.0
Original_threshold_0.0,1,5,20.0
Original_threshold_0.2,2,5,40.0
Original_threshold_0.4,2,4,50.0
Original_threshold_0.6,2,3,66.66666666666666
Original_threshold_0.8,1,2,50.0
Otsu_threshold_0.0,0,5,0.0
Otsu_threshold_0.2,1,4,25.0
Otsu_threshold_0.4,1,3,33.33333333333333
Resized2x_threshold_0.0,3,5,60.0
Resized2x_threshold_0.2,3,5,60.0
Resized2x_threshold_0.4,3,4,75.0
Resized2x_threshold_0.6,3,3,100.0
Resized2x_threshold_0.8,1,1,100.0
Sharpened_threshold_0.0,3,5,60.0
Sharpened_threshold_0.2,3,5,60.0
Sharpened_threshold_0.4,3,4,75.0
Sharpened_threshold_0.6,0,1,0.0
Sharpened_threshold_0.8,0,1,0.0
